"workflow","process","task_hash","a_MB","c_MB","M_MB"
"bowtie2_audit_nf","ALIGN_CHUNK","003faaea63c19e703bbfa530d71b1ed6","62.6","51.63849925994873","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","004664e5b0fb5cad1cc759825da961d0","63.5","50.60888481140137","97.4"
"bowtie2_audit_nf","ALIGN_CHUNK","00b1246229f8848ae43ca2cb25e2e1f8","62.1","50.97553730010986","96.6"
"bowtie2_audit_nf","ALIGN_CHUNK","00dee39223c6c149c9db51a8e9ac6547","63.7","52.32547092437744","97.4"
"bowtie2_audit_nf","ALIGN_CHUNK","00e59d171d6e8b1b3aa4d838ca664cc3","62.7","50.19340133666992","92.1"
"bowtie2_audit_nf","ALIGN_CHUNK","010011238b9eb8b1620a1589453810a6","63.2","51.59360980987549","95.3"
"bowtie2_audit_nf","ALIGN_CHUNK","01400b0e0d18ebb256afbd903935040f","56.2","49.15849304199219","87.9"
"bowtie2_audit_nf","ALIGN_CHUNK","01591154a18d94fd272cb039a327f275","35.2","41.3739595413208","67.7"
"bowtie2_audit_nf","ALIGN_CHUNK","018b65979237386eb239c577f5b4523f","30.4","32.61412715911865","66.3"
"bowtie2_audit_nf","ALIGN_CHUNK","01bdde6be1f47b8e99dac110d41be1be","64.4","55.33364391326904","93.2"
"bowtie2_audit_nf","ALIGN_CHUNK","01c074b7f20d2ccfd5efc74b8603adf2","63.2","50.437499046325684","97.0"
"bowtie2_audit_nf","ALIGN_CHUNK","025eb27dcc166568056d1d495e324efb","64.5","53.53019428253174","93.8"
"bowtie2_audit_nf","ALIGN_CHUNK","028c1f4be9869f01062d6c8ccd51cd9e","62.5","51.332879066467285","100.6"
"bowtie2_audit_nf","ALIGN_CHUNK","032a915a9f1180750c6b2d986f129267","62.5","51.22797966003418","91.6"
"bowtie2_audit_nf","ALIGN_CHUNK","03306c00dbbad6912cf4af58bfacbb5b","63.4","51.80996322631836","100.1"
"bowtie2_audit_nf","ALIGN_CHUNK","03589aa64d8913241af4116014719ac8","64.1","52.626280784606934","94.7"
"bowtie2_audit_nf","ALIGN_CHUNK","0365335dce358071d547129a6727743a","62.9","54.1285285949707","94.0"
"bowtie2_audit_nf","ALIGN_CHUNK","038681111c4b58df777aa18805016d56","62.5","50.930824279785156","94.0"
"bowtie2_audit_nf","ALIGN_CHUNK","03aac02c3c0e5c936eab9a16b148e526","62.9","50.53297519683838","96.5"
"bowtie2_audit_nf","ALIGN_CHUNK","0462b7c996631c02122f4eebf7cd84f6","63.6","52.20101451873779","95.5"
"bowtie2_audit_nf","ALIGN_CHUNK","047765b635da699af0c1c6d2c0efea46","62.8","51.239956855773926","96.4"
"bowtie2_audit_nf","ALIGN_CHUNK","04861ec4b2adf5c51fba43c66b9b694d","63.6","52.12932205200195","96.4"
"bowtie2_audit_nf","ALIGN_CHUNK","0494c07e11dcbd640a70fb4716e78571","62.8","51.275811195373535","97.7"
"bowtie2_audit_nf","ALIGN_CHUNK","04d8799d0ab421bf89b580f450c50d19","63.6","51.94755554199219","93.6"
"bowtie2_audit_nf","ALIGN_CHUNK","0507625a65a08301e557de1f47b36c4f","63.4","54.429287910461426","94.7"
"bowtie2_audit_nf","ALIGN_CHUNK","06e42b6904cc5de9e41cd0c6cbda403d","57.2","50.56445789337158","88.9"
"bowtie2_audit_nf","ALIGN_CHUNK","0778dc32031b6be4156590156ffda919","62.8","51.17940330505371","97.1"
"bowtie2_audit_nf","ALIGN_CHUNK","07a5c10942915429597a8dc94838b205","63.7","51.742323875427246","94.8"
"bowtie2_audit_nf","ALIGN_CHUNK","07d1d4e50571194d5b651613d6704e7c","56.8","49.83048629760742","86.0"
"bowtie2_audit_nf","ALIGN_CHUNK","07d3a24f097bcfbb6941b7b78f8bb684","62.2","50.94087505340576","94.7"
"bowtie2_audit_nf","ALIGN_CHUNK","08082fd2c3822f1eae037716f47c54fc","56.6","49.440452575683594","92.0"
"bowtie2_audit_nf","ALIGN_CHUNK","088c3044376a7d5af88b43e56285eecd","62.6","51.263346672058105","97.0"
"bowtie2_audit_nf","ALIGN_CHUNK","08ad1c246bf5ad892ec8e80779bb6d4d","62.0","51.43239974975586","96.5"
"bowtie2_audit_nf","ALIGN_CHUNK","08b81f5cb658f5b4bcda99822a688351","62.2","51.41392135620117","94.2"
"bowtie2_audit_nf","ALIGN_CHUNK","08ddeb93bbdc318e0350be623a61fa2a","63.7","51.63558578491211","100.1"
"bowtie2_audit_nf","ALIGN_CHUNK","08e6552e92106513fad6297ddb34f1fb","62.8","54.263339042663574","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","08ffd96a4c3d2a7b08fe224d1a896072","57.1","50.799851417541504","91.0"
