process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS,647b838956f30afc80824c053d864b1c,16882073,,47290777,95842304,3
NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,3e637293ab9507ac43e3960bc13a26eb,685158,,2936012,42569728,2
NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,b0642fa80200d8a67043cc2d386f795c,12478054,,3355443,47898624,1
NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,973e639414c845269a52093e5f427b78,40550,,2831155,35381248,1
NFCORE_CHIPSEQ:PREPARE_GENOME:BWA_INDEX,ef2fbe7ee6ed52f91a6b177a8f4ee7cd,49073356,,133588582,29237248,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,6f75919318d0593eb3ae6fd5ee24af2e,20552089,,396361728,450535424,10
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,6a1387660d1fb767fe7f1029ffa19474,23068672,,406218342,572989440,12
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,7ba0ba9b3a36a01443d7def8bc3d028e,235405312,,212756070,332423168,28
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,5395f9ecb43018a7b466da45406ca190,235300454,,171337318,320827392,27
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,7471e5f683b1c8382d5970f3998c55fe,23068672,,428448153,547106816,11
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,556b89b39e150cec686bf2930a6c14f0,259837132,,87975526,372690944,31
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,c77521b53394b328f2077d4c5c759479,261619712,,99195289,399941632,31
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,2a2d212b12dc23261cdd89a5f1311a07,23383244,,457598566,553680896,11
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,18994c7c0f686fe2bd75170c41875d51,267072307,,132959436,363937792,32
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BWA_MEM,c8bf25745fc58ba513f3d3afd406708b,86926950,,180145356,214712320,11
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,ae0bb7868dbf918e8ddd887adc3a9132,262668288,,89233817,378839040,32
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,b8164fed5a81b5e9e6d383f1bdc7c80b,23278387,,443233075,546193408,12
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BWA_MEM,e1ee652f8f14127da5a2dc365ec8386b,87031808,,180459929,217513984,10
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BWA_MEM,fb1067cc16dcacad369a400070f5326d,86717235,,186961100,222679040,13
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BWA_MEM,583d5504b2f0607e183658740cc59ec2,85354086,,183500800,219328512,13
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,7bcfde4c8d0bb5e3017122bb38f3dd29,24536678,,3355443,113893376,3
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,4adfa7f1d6cd2a2597405f349955b29b,24536678,,3145728,115363840,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,ba186033aaa7219d0a220434159f88af,24117248,,4823449,107163648,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,e9a43127a22c1352a713ec5e68fb23c0,24746393,,5242880,107958272,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,baf44ec2965bb69e12cdb3aabd4a609f,10800332,,3250585,47411200,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,8357ed46a000a8589264523be36b743a,10800332,,3460300,59699200,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BWA_MEM,0602bbe43d8035c7b91fd180d66d97b1,85668659,,184549376,219963392,13
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,095525675be00deb44cb8bf18101376c,9122611,,3355443,57221120,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,8f702c9ce1b75bcf2f088f3442bee1be,9122611,,3355443,58703872,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,ca2e487685a069600130bf4290075d4e,24326963,,5033164,109232128,3
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,c771e1596b03e10ecd01187b521eb659,8703180,,3355443,50237440,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BWA_MEM,0b2ab9a40d155b02d8d64803087c55db,85039513,,174692761,217722880,12
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,7daa7541bd1d427d3ec90a22660247e6,23907532,,3460300,107921408,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,44bfa02d57b4bf919c50d0ae2377ac0e,8808038,,3355443,57651200,1
NFCORE_CHIPSEQ:CHIPSEQ:PICARD_MERGESAMFILES,1008620632104bee4cde46d46c5031dd,13316915,,105381888,29843456,1
NFCORE_CHIPSEQ:CHIPSEQ:PICARD_MERGESAMFILES,f7e83d053bb4f0405239ab03e74c591c,13316915,,105486745,31010816,0
NFCORE_CHIPSEQ:CHIPSEQ:PICARD_MERGESAMFILES,fa5cc186c75221fdd85c5a5c043c71e9,13316915,,107164467,30703616,0
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,bffde687d00b477295b18de6f2784746,10800332,,3355443,48410624,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,1498fcbbf567d7d75500fc4aa5215ab7,202240,,3355443,48898048,1
NFCORE_CHIPSEQ:CHIPSEQ:PICARD_MERGESAMFILES,e76960b4d15affb13cf230ae1215bb03,13316915,,106220748,31203328,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,b217aab40c919b42110c60aa50393153,10800332,,3250585,49799168,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,6d28d4329ecf049f9b94ea751d69302c,10800332,,3460300,48816128,1
NFCORE_CHIPSEQ:CHIPSEQ:PICARD_MERGESAMFILES,fb4eacb390d9eebf27c9ebf79ff177a7,13316915,,106849894,30498816,1
NFCORE_CHIPSEQ:CHIPSEQ:PICARD_MERGESAMFILES,2c51f7a09de0934770acaed8a7582a72,13316915,,106745036,30216192,0
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,3c62d47d10258eeef59e6d050869ea5e,8808038,,3355443,49012736,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,50cec3f1479867d09beec5d667e2c9ad,10800332,,3250585,49508352,1
NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES,583dc023b99d1b10f4ef74c27bc7157a,49912217,,2254857830,2278436864,16
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,616d46bd52d659bcf1af39ede52c4e0a,9227468,,3355443,49500160,2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,2f7c110ca0fd8007df8cb13486b30205,202137,,3250585,49250304,1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,07651bf3c4baa367b36987e2a6d00179,9122611,,3250585,50692096,1
