process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
NFCORE_CHIPSEQ-PREPARE_GENOME-CUSTOM_GETCHROMSIZES,b0642fa80200d8a67043cc2d386f795c,57577472,0,/shared/chipseq_run/work/b0/642fa80200d8a67043cc2d386f795c
NFCORE_CHIPSEQ-CHIPSEQ-INPUT_CHECK-SAMPLESHEET_CHECK,3e637293ab9507ac43e3960bc13a26eb,39645184,1,/shared/chipseq_run/work/3e/637293ab9507ac43e3960bc13a26eb
NFCORE_CHIPSEQ-CHIPSEQ-KHMER_UNIQUEKMERS,647b838956f30afc80824c053d864b1c,91869184,1,/shared/chipseq_run/work/64/7b838956f30afc80824c053d864b1c
NFCORE_CHIPSEQ-PREPARE_GENOME-GENOME_BLACKLIST_REGIONS,973e639414c845269a52093e5f427b78,32116736,1,/shared/chipseq_run/work/97/3e639414c845269a52093e5f427b78
NFCORE_CHIPSEQ-PREPARE_GENOME-BWA_INDEX,ef2fbe7ee6ed52f91a6b177a8f4ee7cd,162562048,10,/shared/chipseq_run/work/ef/2fbe7ee6ed52f91a6b177a8f4ee7cd
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,6f75919318d0593eb3ae6fd5ee24af2e,477937664,6,/shared/chipseq_run/work/6f/75919318d0593eb3ae6fd5ee24af2e
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,7ba0ba9b3a36a01443d7def8bc3d028e,325484544,18,/shared/chipseq_run/work/7b/a0ba9b3a36a01443d7def8bc3d028e
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,6a1387660d1fb767fe7f1029ffa19474,494198784,7,/shared/chipseq_run/work/6a/1387660d1fb767fe7f1029ffa19474
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,5395f9ecb43018a7b466da45406ca190,311824384,18,/shared/chipseq_run/work/53/95f9ecb43018a7b466da45406ca190
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,c77521b53394b328f2077d4c5c759479,357568512,23,/shared/chipseq_run/work/c7/7521b53394b328f2077d4c5c759479
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,556b89b39e150cec686bf2930a6c14f0,363757568,23,/shared/chipseq_run/work/55/6b89b39e150cec686bf2930a6c14f0
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,7471e5f683b1c8382d5970f3998c55fe,503468032,7,/shared/chipseq_run/work/74/71e5f683b1c8382d5970f3998c55fe
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,2a2d212b12dc23261cdd89a5f1311a07,535621632,7,/shared/chipseq_run/work/2a/2d212b12dc23261cdd89a5f1311a07
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,18994c7c0f686fe2bd75170c41875d51,339128320,22,/shared/chipseq_run/work/18/994c7c0f686fe2bd75170c41875d51
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,b8164fed5a81b5e9e6d383f1bdc7c80b,515424256,9,/shared/chipseq_run/work/b8/164fed5a81b5e9e6d383f1bdc7c80b
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,ae0bb7868dbf918e8ddd887adc3a9132,373002240,22,/shared/chipseq_run/work/ae/0bb7868dbf918e8ddd887adc3a9132
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,c8bf25745fc58ba513f3d3afd406708b,212230144,7,/shared/chipseq_run/work/c8/bf25745fc58ba513f3d3afd406708b
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,e1ee652f8f14127da5a2dc365ec8386b,213749760,7,/shared/chipseq_run/work/e1/ee652f8f14127da5a2dc365ec8386b
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,0b2ab9a40d155b02d8d64803087c55db,215474176,8,/shared/chipseq_run/work/0b/2ab9a40d155b02d8d64803087c55db
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,0602bbe43d8035c7b91fd180d66d97b1,215613440,9,/shared/chipseq_run/work/06/02bbe43d8035c7b91fd180d66d97b1
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,583d5504b2f0607e183658740cc59ec2,215064576,8,/shared/chipseq_run/work/58/3d5504b2f0607e183658740cc59ec2
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,fb1067cc16dcacad369a400070f5326d,218857472,9,/shared/chipseq_run/work/fb/1067cc16dcacad369a400070f5326d
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,7bcfde4c8d0bb5e3017122bb38f3dd29,110411776,1,/shared/chipseq_run/work/7b/cfde4c8d0bb5e3017122bb38f3dd29
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,4adfa7f1d6cd2a2597405f349955b29b,112828416,1,/shared/chipseq_run/work/4a/dfa7f1d6cd2a2597405f349955b29b
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,e9a43127a22c1352a713ec5e68fb23c0,104710144,1,/shared/chipseq_run/work/e9/a43127a22c1352a713ec5e68fb23c0
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,ba186033aaa7219d0a220434159f88af,115482624,1,/shared/chipseq_run/work/ba/186033aaa7219d0a220434159f88af
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,8357ed46a000a8589264523be36b743a,45027328,0,/shared/chipseq_run/work/83/57ed46a000a8589264523be36b743a
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,baf44ec2965bb69e12cdb3aabd4a609f,57159680,0,/shared/chipseq_run/work/ba/f44ec2965bb69e12cdb3aabd4a609f
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,095525675be00deb44cb8bf18101376c,53604352,0,/shared/chipseq_run/work/09/5525675be00deb44cb8bf18101376c
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,8f702c9ce1b75bcf2f088f3442bee1be,54693888,0,/shared/chipseq_run/work/8f/702c9ce1b75bcf2f088f3442bee1be
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,ca2e487685a069600130bf4290075d4e,104349696,1,/shared/chipseq_run/work/ca/2e487685a069600130bf4290075d4e
