process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-INPUT_CHECK-SAMPLESHEET_CHECK,3e637293,5547158
NFCORE_CHIPSEQ-CHIPSEQ-KHMER_UNIQUEKMERS,647b8389,30660842
NFCORE_CHIPSEQ-PREPARE_GENOME-CUSTOM_GETCHROMSIZES,b0642fa8,17671055
NFCORE_CHIPSEQ-PREPARE_GENOME-BWA_INDEX,ef2fbe7e,3171852
NFCORE_CHIPSEQ-PREPARE_GENOME-GENOME_BLACKLIST_REGIONS,973e6394,4013568
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,6f759193,53739228
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,6a138766,54613576
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,7ba0ba9b,221692346
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,5395f9ec,221961881
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,7471e5f6,54637180
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,556b89b3,246639366
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,c77521b5,245743820
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,2a2d212b,53242662
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,c8bf2574,69795952
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,18994c7c,250966563
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,ae0bb786,248355162
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,fb1067cc,68236271
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,7bcfde4c,27735957
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,4adfa7f1,27738421
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,ba186033,27279573
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,e9a43127,27208067
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,583d5504,67086564
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,baf44ec2,18205495
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,8357ed46,18496937
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,09552567,16664428
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,8f702c9c,15559829
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,ca2e4876,27885573
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,c771e159,16304569
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,0602bbe4,68426190
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,7daa7541,27423060
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,44bfa02d,15585469
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_MERGESAMFILES,10086206,2960751
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_MERGESAMFILES,f7e83d05,3322136
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_MERGESAMFILES,fa5cc186,3332935
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,0b2ab9a4,68035581
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,bffde687,17442948
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,1498fcbb,8193459
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_MERGESAMFILES,e76960b4,3228142
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,b217aab4,18517928
