process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
makeFastaIndex,2c57ef7c952421027d46d38bd87b547d,3221225472,,6291456,13967360,0
get_software_versions,16519b0cbbb6ab5796ccb557d40fbe36,181927936,,402024038,14446592,0
makeSeqDict,a24779ed2c0d9e44a8c7b6a9baf7aa0b,3328599654,,2254857830,14434304,0
output_documentation,6a6897304a480cfab6764354c353fcc0,8493465,,12163481,14245888,0
fastqc,abf1f0f3836f10ff84dd6091d943fce1,1717986918,,275460915,14102528,0
fastqc,47fcc2b5665eb0da546318aef203a046,1610612736,,285946675,14565376,0
fastqc,ebc047b26b6a0ee25b0aca302fc5aed4,1932735283,,279340646,14237696,0
adapter_removal,bc53e8d8ac302f732981fc071607c833,1610612736,,15938355,14192640,0
adapter_removal,1acf114e1d34d2b979654a310373a824,1717986918,,15623782,13967360,0
adapter_removal,ab6674c11e65531272bfdd481d9fc63f,1825361100,,15518924,14041088,0
fastqc_after_clipping,6719156643e295660ce8bad4db7a07b6,1503238553,,285527244,14376960,0
fastqc_after_clipping,c3967f497bf3b2bb2ff5a83736dc70a6,1610612736,,296537292,14151680,0
fastqc_after_clipping,02abf66972136a15acf380f02d29f99e,1610612736,,296537292,14245888,0
makeBWAIndex,dd743044a66339acb3f2cc361e37c0af,12992276070,,4831838208,14708736,0
bwa,f0eaa16a5264c2eedb465266810d16c3,922558975180,,11596411699,14389248,0
bwa,6bac0b3ff999e9d61aa7791c311e5f9e,1077070423654,,11703785881,14561280,0
bwa,068cef2892f169d0f313fa61f3f2dba2,808634967654,,11596411699,15052800,0
samtools_flagstat,badb01b647839e7e303cd9b979262ef3,1932735283,,7025459,14946304,0
samtools_flagstat,145043cba8cc11355277e0d27b1aae4c,1825361100,,6920601,14348288,0
samtools_flagstat,1b52c69879cd3bfd830e505d54053e85,2147483648,,6815744,14274560,0
endorSpy,c6ea4172bec1bbd9770cfc367f81a289,718643,,12058624,15106048,0
endorSpy,dc5fd46007064c87496fa845340b6092,718643,,12058624,15179776,0
endorSpy,455d40c3a9c466883bf5da150ba11ef3,718643,,12268339,14319616,0
preseq,5c0fae06366f26a93913e1254617480a,1825361100,,8283750,14995456,0
preseq,5dba88344ec381690691f3824252aca9,1932735283,,8178892,15040512,0
preseq,e18765cdd67efbe8b98cbb084fd529c5,2147483648,,9227468,14393344,0
markduplicates,ce913a30853d76c0fb4b911555832217,6120328396,,3006477107,14200832,0
markduplicates,df85bf89bb4773e5dae77534e2146188,7194070220,,3113851289,14143488,0
markduplicates,ceca3b5da3b8794fbd3199b002c019be,6657199308,,3006477107,14372864,0
qualimap,1a03f5e12dd86396207f359f96420b9d,1932735283,,2147483648,14176256,0
qualimap,50cd0c5a31c4e0a387fedbeeca7c7b12,2147483648,,2147483648,14237696,0
qualimap,8fc15c2ce03f25374896022c9af83571,2254857830,,2040109465,14520320,0
damageprofiler,efa4234199022a6a1a4bdda93ad4e039,1932735283,,4294967296,14336000,0
damageprofiler,240d1e2d1a1dc814e9e62eb4167f52d9,2040109465,,5905580032,14069760,0
damageprofiler,5faac89fc0d26ef534826d30ace0a64e,2254857830,,7623566950,14819328,0
multiqc,488b9acf209073cc024cff7925e5ae25,24481313587,,262458572,414134272,40
