process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
get_software_versions,16519b0cbbb6ab5796ccb557d40fbe36,780255232,17,/shared/eager_run/work/16/519b0cbbb6ab5796ccb557d40fbe36
makeFastaIndex,2c57ef7c952421027d46d38bd87b547d,37568512,26,/shared/eager_run/work/2c/57ef7c952421027d46d38bd87b547d
makeSeqDict,a24779ed2c0d9e44a8c7b6a9baf7aa0b,2396700672,49,/shared/eager_run/work/a2/4779ed2c0d9e44a8c7b6a9baf7aa0b
output_documentation,6a6897304a480cfab6764354c353fcc0,121135104,1,/shared/eager_run/work/6a/6897304a480cfab6764354c353fcc0
fastqc,47fcc2b5665eb0da546318aef203a046,1982586880,174,/shared/eager_run/work/47/fcc2b5665eb0da546318aef203a046
fastqc,abf1f0f3836f10ff84dd6091d943fce1,2148564992,187,/shared/eager_run/work/ab/f1f0f3836f10ff84dd6091d943fce1
fastqc,ebc047b26b6a0ee25b0aca302fc5aed4,2238607360,231,/shared/eager_run/work/eb/c047b26b6a0ee25b0aca302fc5aed4
adapter_removal,bc53e8d8ac302f732981fc071607c833,1518510080,745,/shared/eager_run/work/bc/53e8d8ac302f732981fc071607c833
adapter_removal,ab6674c11e65531272bfdd481d9fc63f,1680293888,789,/shared/eager_run/work/ab/6674c11e65531272bfdd481d9fc63f
adapter_removal,1acf114e1d34d2b979654a310373a824,1586667520,794,/shared/eager_run/work/1a/cf114e1d34d2b979654a310373a824
fastqc_after_clipping,6719156643e295660ce8bad4db7a07b6,1832026112,167,/shared/eager_run/work/67/19156643e295660ce8bad4db7a07b6
fastqc_after_clipping,c3967f497bf3b2bb2ff5a83736dc70a6,1925902336,177,/shared/eager_run/work/c3/967f497bf3b2bb2ff5a83736dc70a6
fastqc_after_clipping,02abf66972136a15acf380f02d29f99e,2013290496,178,/shared/eager_run/work/02/abf66972136a15acf380f02d29f99e
makeBWAIndex,dd743044a66339acb3f2cc361e37c0af,13768683520,4254,/shared/eager_run/work/dd/743044a66339acb3f2cc361e37c0af
bwa,f57686929edd4f379df32fbe2843164c,4946739200,14421,/shared/eager_run/work/f5/7686929edd4f379df32fbe2843164c
