process,task_hash,c_bytes
get_software_versions,16519b0c,387668
makeBWAIndex,dd743044,414206
fastqc,ebc047b2,388080
bwa,6bac0b3f,422493
adapter_removal,bc53e8d8,424835
fastqc_after_clipping,67191566,410201
fastqc,abf1f0f3,394807
adapter_removal,ab6674c1,421789
fastqc_after_clipping,02abf669,405317
makeSeqDict,a24779ed,405185
output_documentation,6a689730,408013
makeFastaIndex,2c57ef7c,407187
adapter_removal,1acf114e,419471
fastqc_after_clipping,c3967f49,413036
bwa,f0eaa16a,423244
fastqc,47fcc2b5,400801
multiqc,488b9acf,68488
preseq,5c0fae06,401864
bwa,068cef28,413030
damageprofiler,240d1e2d,423536
damageprofiler,efa42341,430899
samtools_flagstat,1b52c698,408823
endorSpy,dc5fd460,415690
preseq,5dba8834,405094
samtools_flagstat,badb01b6,411608
qualimap,1a03f5e1,427663
samtools_flagstat,145043cb,395159
damageprofiler,5faac89f,435773
qualimap,8fc15c2c,431808
endorSpy,c6ea4172,413624
markduplicates,ceca3b5d,410422
qualimap,50cd0c5a,419537
preseq,e18765cd,392104
markduplicates,ce913a30,409843
endorSpy,455d40c3,411415
markduplicates,df85bf89,395170
