process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds,workdir
makeFastaIndex,2c57ef7c952421027d46d38bd87b547d,3221225472,407187,6291456,13967360,0,/shared/eager_run/work/2c/57ef7c952421027d46d38bd87b547d
get_software_versions,16519b0cbbb6ab5796ccb557d40fbe36,181927936,387668,402024038,14446592,0,/shared/eager_run/work/16/519b0cbbb6ab5796ccb557d40fbe36
makeSeqDict,a24779ed2c0d9e44a8c7b6a9baf7aa0b,3328599654,405185,2254857830,14434304,0,/shared/eager_run/work/a2/4779ed2c0d9e44a8c7b6a9baf7aa0b
output_documentation,6a6897304a480cfab6764354c353fcc0,8493465,408013,12163481,14245888,0,/shared/eager_run/work/6a/6897304a480cfab6764354c353fcc0
fastqc,abf1f0f3836f10ff84dd6091d943fce1,1717986918,394807,275460915,14102528,0,/shared/eager_run/work/ab/f1f0f3836f10ff84dd6091d943fce1
fastqc,47fcc2b5665eb0da546318aef203a046,1610612736,400801,285946675,14565376,0,/shared/eager_run/work/47/fcc2b5665eb0da546318aef203a046
fastqc,ebc047b26b6a0ee25b0aca302fc5aed4,1932735283,388080,279340646,14237696,0,/shared/eager_run/work/eb/c047b26b6a0ee25b0aca302fc5aed4
adapter_removal,bc53e8d8ac302f732981fc071607c833,1610612736,424835,15938355,14192640,0,/shared/eager_run/work/bc/53e8d8ac302f732981fc071607c833
adapter_removal,1acf114e1d34d2b979654a310373a824,1717986918,419471,15623782,13967360,0,/shared/eager_run/work/1a/cf114e1d34d2b979654a310373a824
adapter_removal,ab6674c11e65531272bfdd481d9fc63f,1825361100,421789,15518924,14041088,0,/shared/eager_run/work/ab/6674c11e65531272bfdd481d9fc63f
fastqc_after_clipping,6719156643e295660ce8bad4db7a07b6,1503238553,410201,285527244,14376960,0,/shared/eager_run/work/67/19156643e295660ce8bad4db7a07b6
fastqc_after_clipping,c3967f497bf3b2bb2ff5a83736dc70a6,1610612736,413036,296537292,14151680,0,/shared/eager_run/work/c3/967f497bf3b2bb2ff5a83736dc70a6
fastqc_after_clipping,02abf66972136a15acf380f02d29f99e,1610612736,405317,296537292,14245888,0,/shared/eager_run/work/02/abf66972136a15acf380f02d29f99e
makeBWAIndex,dd743044a66339acb3f2cc361e37c0af,12992276070,414206,4831838208,14708736,0,/shared/eager_run/work/dd/743044a66339acb3f2cc361e37c0af
bwa,f0eaa16a5264c2eedb465266810d16c3,922558975180,423244,11596411699,14389248,0,/shared/eager_run/work/f0/eaa16a5264c2eedb465266810d16c3
bwa,6bac0b3ff999e9d61aa7791c311e5f9e,1077070423654,422493,11703785881,14561280,0,/shared/eager_run/work/6b/ac0b3ff999e9d61aa7791c311e5f9e
bwa,068cef2892f169d0f313fa61f3f2dba2,808634967654,413030,11596411699,15052800,0,/shared/eager_run/work/06/8cef2892f169d0f313fa61f3f2dba2
samtools_flagstat,badb01b647839e7e303cd9b979262ef3,1932735283,411608,7025459,14946304,0,/shared/eager_run/work/ba/db01b647839e7e303cd9b979262ef3
samtools_flagstat,145043cba8cc11355277e0d27b1aae4c,1825361100,395159,6920601,14348288,0,/shared/eager_run/work/14/5043cba8cc11355277e0d27b1aae4c
samtools_flagstat,1b52c69879cd3bfd830e505d54053e85,2147483648,408823,6815744,14274560,0,/shared/eager_run/work/1b/52c69879cd3bfd830e505d54053e85
endorSpy,c6ea4172bec1bbd9770cfc367f81a289,718643,413624,12058624,15106048,0,/shared/eager_run/work/c6/ea4172bec1bbd9770cfc367f81a289
endorSpy,dc5fd46007064c87496fa845340b6092,718643,415690,12058624,15179776,0,/shared/eager_run/work/dc/5fd46007064c87496fa845340b6092
endorSpy,455d40c3a9c466883bf5da150ba11ef3,718643,411415,12268339,14319616,0,/shared/eager_run/work/45/5d40c3a9c466883bf5da150ba11ef3
preseq,5c0fae06366f26a93913e1254617480a,1825361100,401864,8283750,14995456,0,/shared/eager_run/work/5c/0fae06366f26a93913e1254617480a
