process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
NFCORE_MAG-MAG-CATPACK-CAT_DB_UNTAR,dc5715c553a5410d8d1dafdead3c5fa4,36605952,0,/shared/mag_run/work/dc/5715c553a5410d8d1dafdead3c5fa4
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,4e88a04577ee6800a5046f83bbb1cbaf,516784128,5,/shared/mag_run/work/4e/88a04577ee6800a5046f83bbb1cbaf
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,9af548977a50b8007b00a19b670a0b5c,1309696000,26,/shared/mag_run/work/9a/f548977a50b8007b00a19b670a0b5c
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,7b560d8e4eea87996b06f20f0077792e,509042688,4,/shared/mag_run/work/7b/560d8e4eea87996b06f20f0077792e
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,a3a99b58bb12a1977c437efb14468ab9,1301078016,26,/shared/mag_run/work/a3/a99b58bb12a1977c437efb14468ab9
NFCORE_MAG-MAG-BIN_QC-BUSCO_UNTAR,0510df2cd077a3de55ef3844fa0a4298,71163904,3,/shared/mag_run/work/05/10df2cd077a3de55ef3844fa0a4298
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,86968b04cae8b666a4aab66a3c77532c,474062848,4,/shared/mag_run/work/86/968b04cae8b666a4aab66a3c77532c
NFCORE_MAG-MAG-GTDBTK-GTDBTK_DB_PREPARATION,1104e138c7495b321c1bbf7702b6dcf1,152936448,6,/shared/mag_run/work/11/04e138c7495b321c1bbf7702b6dcf1
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,1bc142bfe485b2ad6b04b207ca8e9b6e,1244856320,17,/shared/mag_run/work/1b/c142bfe485b2ad6b04b207ca8e9b6e
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_BUILD,2715f8d4b4010fbc5965dd41f6da62c8,171839488,2,/shared/mag_run/work/27/15f8d4b4010fbc5965dd41f6da62c8
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,76bd9a63bd9c3b4dbeef1e57545504fe,138752000,18,/shared/mag_run/work/76/bd9a63bd9c3b4dbeef1e57545504fe
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,b14adb55bd6407bb86d9d75ca79a02a0,94511104,18,/shared/mag_run/work/b1/4adb55bd6407bb86d9d75ca79a02a0
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,91536bc3925dc1d012e5c14320056db8,77279232,11,/shared/mag_run/work/91/536bc3925dc1d012e5c14320056db8
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,d7e98b57c85122163d20e03312dc8f7d,443772928,4,/shared/mag_run/work/d7/e98b57c85122163d20e03312dc8f7d
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,dfa08fbab59af6c59e4fc6838d3f7cd0,483700736,5,/shared/mag_run/work/df/a08fbab59af6c59e4fc6838d3f7cd0
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-CAT_FASTQ,5aff7b09222e71e942a9f0c8926b2487,50167808,1,/shared/mag_run/work/5a/ff7b09222e71e942a9f0c8926b2487
