process,total_rows
NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_SHORTREAD_ASSEMBLIES,2
NFCORE_MAG:MAG:ASSEMBLY:SHORTREAD_ASSEMBLY:MEGAHIT,1
NFCORE_MAG:MAG:ASSEMBLY:SHORTREAD_ASSEMBLY:METASPADES,1
NFCORE_MAG:MAG:BINNING_PREPARATION:SHORTREAD_BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD,2
NFCORE_MAG:MAG:BIN_QC:BUSCO_UNTAR,1
NFCORE_MAG:MAG:CATPACK:CAT_DB_UNTAR,1
NFCORE_MAG:MAG:GTDBTK:GTDBTK_DB_PREPARATION,1
NFCORE_MAG:MAG:PRODIGAL,2
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN,3
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD,1
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:CAT_FASTQ,1
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP,3
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW,3
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED,3
