process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW,078eef1228203be0101440915ce1bf8b,890870169,,6335076761,15409152,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW,363c2c1047fb652465a72650e6a2a35a,887514726,,6227702579,15413248,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP,e6fee55b727f66c7bac9c85fbd589a1c,938056089,,1395864371,14663680,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP,ac46b29a3f74f0550e5fd75a75b7366d,941201817,,1395864371,15167488,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD,3d6b0b7a7e6da0c7491cbff2840e9ee5,1468006,,2936012,14946304,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW,e8089626326b8ff0355b0367568d32b3,2040109465,,6012954214,15593472,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN,19527b9dacc066fc49dc0fc71ca36510,9019431321,,68157440,15237120,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN,483035c5f144eaf1ded2b75f88b6f4b3,9234179686,,68052582,14761984,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED,be93089f48665afcf310407a7eaa0dfb,827850752,,6442450944,15257600,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED,6e6b33fd740fcddc4bcec714ea583caa,832988774,,6227702579,15310848,0
NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP,69445b2a7cdb48ed62f7a3268782ca23,2147483648,,1503238553,14815232,0
