process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,363c2c1047fb652465a72650e6a2a35a,7235047424,39,/shared/mag_karlsson_run/work/36/3c2c1047fb652465a72650e6a2a35a
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,078eef1228203be0101440915ce1bf8b,7249981440,40,/shared/mag_karlsson_run/work/07/8eef1228203be0101440915ce1bf8b
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,ac46b29a3f74f0550e5fd75a75b7366d,2400485376,70,/shared/mag_karlsson_run/work/ac/46b29a3f74f0550e5fd75a75b7366d
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,e6fee55b727f66c7bac9c85fbd589a1c,2398519296,70,/shared/mag_karlsson_run/work/e6/fee55b727f66c7bac9c85fbd589a1c
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,e8089626326b8ff0355b0367568d32b3,8289898496,82,/shared/mag_karlsson_run/work/e8/089626326b8ff0355b0367568d32b3
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_BUILD,3d6b0b7a7e6da0c7491cbff2840e9ee5,172896256,2,/shared/mag_karlsson_run/work/3d/6b0b7a7e6da0c7491cbff2840e9ee5
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,19527b9dacc066fc49dc0fc71ca36510,911351808,516,/shared/mag_karlsson_run/work/19/527b9dacc066fc49dc0fc71ca36510
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,483035c5f144eaf1ded2b75f88b6f4b3,1335230464,553,/shared/mag_karlsson_run/work/48/3035c5f144eaf1ded2b75f88b6f4b3
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,be93089f48665afcf310407a7eaa0dfb,6574587904,36,/shared/mag_karlsson_run/work/be/93089f48665afcf310407a7eaa0dfb
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,6e6b33fd740fcddc4bcec714ea583caa,6761144320,38,/shared/mag_karlsson_run/work/6e/6b33fd740fcddc4bcec714ea583caa
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,69445b2a7cdb48ed62f7a3268782ca23,3537866752,73,/shared/mag_karlsson_run/work/69/445b2a7cdb48ed62f7a3268782ca23
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,b5027404050e6a73c9720fb57754f592,718364672,244,/shared/mag_karlsson_run/work/b5/027404050e6a73c9720fb57754f592
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,a0180fe19eaff8c3ec82618916c2e5cc,313556992,31,/shared/mag_karlsson_run/work/a0/180fe19eaff8c3ec82618916c2e5cc
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,75ff77bc0557764920cf9e4df748d5b1,578699264,239,/shared/mag_karlsson_run/work/75/ff77bc0557764920cf9e4df748d5b1
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_BUILD,3d6b0b7a7e6da0c7491cbff2840e9ee5,14790656,0,/shared/mag_karlsson_run/work/3d/6b0b7a7e6da0c7491cbff2840e9ee5
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,69445b2a7cdb48ed62f7a3268782ca23,14872576,0,/shared/mag_karlsson_run/work/69/445b2a7cdb48ed62f7a3268782ca23
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,363c2c1047fb652465a72650e6a2a35a,14958592,0,/shared/mag_karlsson_run/work/36/3c2c1047fb652465a72650e6a2a35a
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,e8089626326b8ff0355b0367568d32b3,14934016,0,/shared/mag_karlsson_run/work/e8/089626326b8ff0355b0367568d32b3
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,078eef1228203be0101440915ce1bf8b,14921728,0,/shared/mag_karlsson_run/work/07/8eef1228203be0101440915ce1bf8b
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,483035c5f144eaf1ded2b75f88b6f4b3,15003648,0,/shared/mag_karlsson_run/work/48/3035c5f144eaf1ded2b75f88b6f4b3
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,19527b9dacc066fc49dc0fc71ca36510,15253504,0,/shared/mag_karlsson_run/work/19/527b9dacc066fc49dc0fc71ca36510
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,ac46b29a3f74f0550e5fd75a75b7366d,14487552,0,/shared/mag_karlsson_run/work/ac/46b29a3f74f0550e5fd75a75b7366d
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,6e6b33fd740fcddc4bcec714ea583caa,15130624,0,/shared/mag_karlsson_run/work/6e/6b33fd740fcddc4bcec714ea583caa
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,be93089f48665afcf310407a7eaa0dfb,14774272,0,/shared/mag_karlsson_run/work/be/93089f48665afcf310407a7eaa0dfb
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,ac46b29a3f74f0550e5fd75a75b7366d,14897152,0,/shared/mag_karlsson_run/work/ac/46b29a3f74f0550e5fd75a75b7366d
