process,task_hash,c_bytes
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,078eef12,374427
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,363c2c10,373020
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_BUILD,3d6b0b7a,364685
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,69445b2a,382647
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,483035c5,433484
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,19527b9d,437261
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,e6fee55b,372742
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,ac46b29a,379620
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,6e6b33fd,370049
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,be93089f,378742
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,e8089626,369260
