sample,fastq_1,fastq_2,genome
ERR1794793,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794793/ERR1794793_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794793/ERR1794793_2.fastq.gz,
ERR1794794,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794794/ERR1794794_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794794/ERR1794794_2.fastq.gz,
ERR1794795,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/005/ERR1794795/ERR1794795_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/005/ERR1794795/ERR1794795_2.fastq.gz,
ERR1794796,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/006/ERR1794796/ERR1794796_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/006/ERR1794796/ERR1794796_2.fastq.gz,
ERR1794798,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/008/ERR1794798/ERR1794798_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/008/ERR1794798/ERR1794798_2.fastq.gz,
ERR1794799,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794799/ERR1794799_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794799/ERR1794799_2.fastq.gz,
ERR1794800,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1794800/ERR1794800_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1794800/ERR1794800_2.fastq.gz,
ERR1794801,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794801/ERR1794801_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794801/ERR1794801_2.fastq.gz,
ERR1794802,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1794802/ERR1794802_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1794802/ERR1794802_2.fastq.gz,
ERR1794804,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794804/ERR1794804_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794804/ERR1794804_2.fastq.gz,
ERR1794806,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/006/ERR1794806/ERR1794806_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/006/ERR1794806/ERR1794806_2.fastq.gz,
ERR1794807,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/007/ERR1794807/ERR1794807_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/007/ERR1794807/ERR1794807_2.fastq.gz,
ERR1794808,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/008/ERR1794808/ERR1794808_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/008/ERR1794808/ERR1794808_2.fastq.gz,
ERR1794809,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794809/ERR1794809_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794809/ERR1794809_2.fastq.gz,
ERR1794810,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1794810/ERR1794810_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1794810/ERR1794810_2.fastq.gz,
ERR1794811,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794811/ERR1794811_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794811/ERR1794811_2.fastq.gz,
ERR1794812,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1794812/ERR1794812_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1794812/ERR1794812_2.fastq.gz,
ERR1794813,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794813/ERR1794813_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794813/ERR1794813_2.fastq.gz,
ERR1794814,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794814/ERR1794814_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794814/ERR1794814_2.fastq.gz,
ERR1794815,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/005/ERR1794815/ERR1794815_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/005/ERR1794815/ERR1794815_2.fastq.gz,
ERR1794816,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/006/ERR1794816/ERR1794816_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/006/ERR1794816/ERR1794816_2.fastq.gz,
ERR1794817,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/007/ERR1794817/ERR1794817_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/007/ERR1794817/ERR1794817_2.fastq.gz,
ERR1794818,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/008/ERR1794818/ERR1794818_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/008/ERR1794818/ERR1794818_2.fastq.gz,
ERR1794819,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794819/ERR1794819_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794819/ERR1794819_2.fastq.gz,
ERR1794820,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1794820/ERR1794820_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1794820/ERR1794820_2.fastq.gz,
ERR1794821,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794821/ERR1794821_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794821/ERR1794821_2.fastq.gz,
ERR1794822,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1794822/ERR1794822_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1794822/ERR1794822_2.fastq.gz,
ERR1794823,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794823/ERR1794823_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794823/ERR1794823_2.fastq.gz,
ERR1794824,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794824/ERR1794824_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1794824/ERR1794824_2.fastq.gz,
ERR1794825,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/005/ERR1794825/ERR1794825_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/005/ERR1794825/ERR1794825_2.fastq.gz,
ERR1794827,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/007/ERR1794827/ERR1794827_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/007/ERR1794827/ERR1794827_2.fastq.gz,
ERR1794829,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794829/ERR1794829_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1794829/ERR1794829_2.fastq.gz,
ERR1794831,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794831/ERR1794831_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1794831/ERR1794831_2.fastq.gz,
ERR1794833,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794833/ERR1794833_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1794833/ERR1794833_2.fastq.gz,
SRR25320769,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/069/SRR25320769/SRR25320769_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/069/SRR25320769/SRR25320769_2.fastq.gz,
SRR25320770,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/070/SRR25320770/SRR25320770_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/070/SRR25320770/SRR25320770_2.fastq.gz,
SRR25320771,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/071/SRR25320771/SRR25320771_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/071/SRR25320771/SRR25320771_2.fastq.gz,
SRR25320772,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/072/SRR25320772/SRR25320772_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/072/SRR25320772/SRR25320772_2.fastq.gz,
SRR25320773,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/073/SRR25320773/SRR25320773_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/073/SRR25320773/SRR25320773_2.fastq.gz,
SRR25320774,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/074/SRR25320774/SRR25320774_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/074/SRR25320774/SRR25320774_2.fastq.gz,
SRR25320775,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/075/SRR25320775/SRR25320775_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/075/SRR25320775/SRR25320775_2.fastq.gz,
SRR25320776,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/076/SRR25320776/SRR25320776_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/076/SRR25320776/SRR25320776_2.fastq.gz,
SRR25320777,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/077/SRR25320777/SRR25320777_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/077/SRR25320777/SRR25320777_2.fastq.gz,
SRR25320778,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/078/SRR25320778/SRR25320778_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/078/SRR25320778/SRR25320778_2.fastq.gz,
SRR25320779,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/079/SRR25320779/SRR25320779_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/079/SRR25320779/SRR25320779_2.fastq.gz,
SRR25320780,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/080/SRR25320780/SRR25320780_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/080/SRR25320780/SRR25320780_2.fastq.gz,
SRR25320781,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/081/SRR25320781/SRR25320781_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/081/SRR25320781/SRR25320781_2.fastq.gz,
SRR25320782,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/082/SRR25320782/SRR25320782_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/082/SRR25320782/SRR25320782_2.fastq.gz,
SRR25320783,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/083/SRR25320783/SRR25320783_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/083/SRR25320783/SRR25320783_2.fastq.gz,
SRR25320784,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/084/SRR25320784/SRR25320784_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/084/SRR25320784/SRR25320784_2.fastq.gz,
SRR25320785,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/085/SRR25320785/SRR25320785_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/085/SRR25320785/SRR25320785_2.fastq.gz,
SRR25320786,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/086/SRR25320786/SRR25320786_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/086/SRR25320786/SRR25320786_2.fastq.gz,
SRR25320787,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/087/SRR25320787/SRR25320787_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/087/SRR25320787/SRR25320787_2.fastq.gz,
SRR25320788,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/088/SRR25320788/SRR25320788_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/088/SRR25320788/SRR25320788_2.fastq.gz,
SRR25320789,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/089/SRR25320789/SRR25320789_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/089/SRR25320789/SRR25320789_2.fastq.gz,
SRR25320790,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/090/SRR25320790/SRR25320790_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/090/SRR25320790/SRR25320790_2.fastq.gz,
SRR25320791,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/091/SRR25320791/SRR25320791_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/091/SRR25320791/SRR25320791_2.fastq.gz,
SRR25320792,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/092/SRR25320792/SRR25320792_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/092/SRR25320792/SRR25320792_2.fastq.gz,
SRR25320793,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/093/SRR25320793/SRR25320793_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/093/SRR25320793/SRR25320793_2.fastq.gz,
SRR25320794,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/094/SRR25320794/SRR25320794_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/094/SRR25320794/SRR25320794_2.fastq.gz,
SRR25320795,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/095/SRR25320795/SRR25320795_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/095/SRR25320795/SRR25320795_2.fastq.gz,
SRR25320796,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/096/SRR25320796/SRR25320796_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/096/SRR25320796/SRR25320796_2.fastq.gz,
SRR25320798,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/098/SRR25320798/SRR25320798_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/098/SRR25320798/SRR25320798_2.fastq.gz,
SRR25320799,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/099/SRR25320799/SRR25320799_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/099/SRR25320799/SRR25320799_2.fastq.gz,
SRR25320800,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/000/SRR25320800/SRR25320800_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/000/SRR25320800/SRR25320800_2.fastq.gz,
SRR25320801,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/001/SRR25320801/SRR25320801_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/001/SRR25320801/SRR25320801_2.fastq.gz,
SRR25320802,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/002/SRR25320802/SRR25320802_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/002/SRR25320802/SRR25320802_2.fastq.gz,
SRR25320803,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/003/SRR25320803/SRR25320803_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/003/SRR25320803/SRR25320803_2.fastq.gz,
SRR25320804,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/004/SRR25320804/SRR25320804_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/004/SRR25320804/SRR25320804_2.fastq.gz,
SRR25320805,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/005/SRR25320805/SRR25320805_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/005/SRR25320805/SRR25320805_2.fastq.gz,
SRR25320811,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/011/SRR25320811/SRR25320811_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/011/SRR25320811/SRR25320811_2.fastq.gz,
SRR25320818,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/018/SRR25320818/SRR25320818_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/018/SRR25320818/SRR25320818_2.fastq.gz,
SRR25320819,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/019/SRR25320819/SRR25320819_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/019/SRR25320819/SRR25320819_2.fastq.gz,
SRR25320820,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/020/SRR25320820/SRR25320820_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/020/SRR25320820/SRR25320820_2.fastq.gz,
SRR25320821,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/021/SRR25320821/SRR25320821_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/021/SRR25320821/SRR25320821_2.fastq.gz,
SRR25320822,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/022/SRR25320822/SRR25320822_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/022/SRR25320822/SRR25320822_2.fastq.gz,
SRR25320823,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/023/SRR25320823/SRR25320823_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/023/SRR25320823/SRR25320823_2.fastq.gz,
SRR25320824,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/024/SRR25320824/SRR25320824_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/024/SRR25320824/SRR25320824_2.fastq.gz,
SRR25320825,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/025/SRR25320825/SRR25320825_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/025/SRR25320825/SRR25320825_2.fastq.gz,
SRR25320826,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/026/SRR25320826/SRR25320826_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/026/SRR25320826/SRR25320826_2.fastq.gz,
SRR25320827,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/027/SRR25320827/SRR25320827_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/027/SRR25320827/SRR25320827_2.fastq.gz,
SRR25320828,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/028/SRR25320828/SRR25320828_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/028/SRR25320828/SRR25320828_2.fastq.gz,
SRR25320829,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/029/SRR25320829/SRR25320829_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/029/SRR25320829/SRR25320829_2.fastq.gz,
SRR25320830,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/030/SRR25320830/SRR25320830_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/030/SRR25320830/SRR25320830_2.fastq.gz,
SRR25320831,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/031/SRR25320831/SRR25320831_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/031/SRR25320831/SRR25320831_2.fastq.gz,
SRR25320832,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/032/SRR25320832/SRR25320832_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/032/SRR25320832/SRR25320832_2.fastq.gz,
SRR25320833,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/033/SRR25320833/SRR25320833_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/033/SRR25320833/SRR25320833_2.fastq.gz,
SRR25320834,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/034/SRR25320834/SRR25320834_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/034/SRR25320834/SRR25320834_2.fastq.gz,
SRR25320835,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/035/SRR25320835/SRR25320835_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/035/SRR25320835/SRR25320835_2.fastq.gz,
SRR25320836,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/036/SRR25320836/SRR25320836_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/036/SRR25320836/SRR25320836_2.fastq.gz,
SRR25320837,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/037/SRR25320837/SRR25320837_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/037/SRR25320837/SRR25320837_2.fastq.gz,
