process,tag,status
NFCORE_METHYLSEQ:FASTA_INDEX_METHYLSEQ:GUNZIP,Rattus_norvegicus.Rnor_6.0.dna.toplevel.fa.gz,CACHED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320786,CACHED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442861,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25321006,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320991,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25321065,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25321104,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320891,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320846,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320993,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25321050,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR25321085,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,ERR1794798,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR5442710,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR5442658,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:SAMTOOLS_SORT,SRR5442863,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:SAMTOOLS_SORT,SRR5442868,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442839,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR5442803,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25321137,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:SAMTOOLS_SORT,SRR25320831,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25320916,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25320774,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_REPORT,ERR1794806,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25321123,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25321033,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320981,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_REPORT,SRR5442868,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:SAMTOOLS_SORT,SRR25321092,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR25321063,ABORTED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,ERR1794810,CACHED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320769,CACHED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442862,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320981,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320976,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442779,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR5442850,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442845,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320974,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442729,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320887,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442725,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR5442841,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25320789,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR5442780,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25320994,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR25320993,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442700,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25321025,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR5442735,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR25320823,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25321046,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320801,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_REPORT,ERR1794798,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR25320778,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR5442846,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_REPORT,SRR5442796,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR25321127,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE,SRR5442812,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN,SRR25321103,ABORTED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,ERR1794817,CACHED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320775,CACHED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR5442752,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442812,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR5442800,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442832,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25321178,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320951,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442818,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320954,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR5442814,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR5442774,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SRR25320964,COMPLETED
NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SRR25320915,COMPLETED
