"workflow","process","task_hash","a_MB","c_MB","M_MB"
"minimap2_audit_nf","BUILD_INDEX","02339858aa1b24244d0c8b28c0c8633e","6.9","1.110642433166504","13.8"
"minimap2_audit_nf","BUILD_INDEX","340ca819386f2b512c287edbfa8b51d2","6.9","1.1378917694091797","13.8"
"minimap2_audit_nf","BUILD_INDEX","3a62f03709ebb638e866c51e02cf6510","6.9","9.754809379577637","13.8"
"minimap2_audit_nf","BUILD_INDEX","3afafebb3f54fd35c1e824e4c963f05f","6.9","1.1029167175292969","13.8"
"minimap2_audit_nf","BUILD_INDEX","6c2b8e40f99bad956081b6d20c440124","6.9","10.116666793823242","13.8"
"minimap2_audit_nf","BUILD_INDEX","7999c7e2ce80963c37f0e6d4c96339ed","6.9","9.731481552124023","13.8"
"minimap2_audit_nf","BUILD_INDEX","858d9681d9990d0a5e5670b7b2e1efca","6.9","1.122359275817871","13.8"
"minimap2_audit_nf","BUILD_INDEX","988e94ff59f1364fe5a618b6f78a7f81","6.9","1.149704933166504","13.8"
"minimap2_audit_nf","BUILD_INDEX","cc29a78f63127e74aebb4a8ced80f354","6.9","9.719873428344727","13.8"
"minimap2_audit_nf","BUILD_INDEX","d65bebf65cf3196500f6b7d9a52769c9","6.9","9.71700382232666","13.8"
"minimap2_audit_nf","BUILD_INDEX","dfd1b889a7f9bc81cade53dd739ea9c5","6.9","9.960921287536621","13.8"
"minimap2_audit_nf","BUILD_INDEX","f62abebee284cca7c2fc597b4a5f7626","6.9","10.055619239807129","13.8"
"minimap2_audit_nf","BUILD_INDEX","ff49664aafa94c956c4d85e0f651702f","6.9","1.1105480194091797","13.8"
"minimap2_audit_nf","GENERATE_REFERENCE","0787d4a3eef97347e42f1351f7a5d9b8","0.7673828125","5.573979377746582","26.8"
"minimap2_audit_nf","GENERATE_REFERENCE","3424cf36563b2701af5e23de75f7a03e","0.7673828125","6.013257026672363","26.8"
"minimap2_audit_nf","GENERATE_REFERENCE","469db8821b586de9c9420efc345a768f","0.7673828125","5.577825546264648","26.8"
"minimap2_audit_nf","GENERATE_REFERENCE","67e7cd1fa08ca0a4b07a389e4e47adef","0.7673828125","5.585757255554199","26.8"
"minimap2_audit_nf","GENERATE_REFERENCE","6ab76a730db18efed724f3c3fa4e8a27","0.7673828125","5.581945419311523","26.8"
