sample	image	mask	label
s0006_kidney_left	__TOTALSEG_DATA_DIR__/s0006/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0006/segmentations/kidney_left.nii.gz	1
s0006_kidney_right	__TOTALSEG_DATA_DIR__/s0006/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0006/segmentations/kidney_right.nii.gz	1
s0006_liver	__TOTALSEG_DATA_DIR__/s0006/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0006/segmentations/liver.nii.gz	1
s0006_pancreas	__TOTALSEG_DATA_DIR__/s0006/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0006/segmentations/pancreas.nii.gz	1
s0006_spleen	__TOTALSEG_DATA_DIR__/s0006/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0006/segmentations/spleen.nii.gz	1
s0009_kidney_left	__TOTALSEG_DATA_DIR__/s0009/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0009/segmentations/kidney_left.nii.gz	1
s0009_kidney_right	__TOTALSEG_DATA_DIR__/s0009/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0009/segmentations/kidney_right.nii.gz	1
s0009_liver	__TOTALSEG_DATA_DIR__/s0009/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0009/segmentations/liver.nii.gz	1
s0009_pancreas	__TOTALSEG_DATA_DIR__/s0009/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0009/segmentations/pancreas.nii.gz	1
s0009_spleen	__TOTALSEG_DATA_DIR__/s0009/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0009/segmentations/spleen.nii.gz	1
s0010_kidney_left	__TOTALSEG_DATA_DIR__/s0010/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0010/segmentations/kidney_left.nii.gz	1
s0010_kidney_right	__TOTALSEG_DATA_DIR__/s0010/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0010/segmentations/kidney_right.nii.gz	1
s0010_liver	__TOTALSEG_DATA_DIR__/s0010/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0010/segmentations/liver.nii.gz	1
s0010_pancreas	__TOTALSEG_DATA_DIR__/s0010/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0010/segmentations/pancreas.nii.gz	1
s0010_spleen	__TOTALSEG_DATA_DIR__/s0010/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0010/segmentations/spleen.nii.gz	1
s0011_kidney_left	__TOTALSEG_DATA_DIR__/s0011/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0011/segmentations/kidney_left.nii.gz	1
s0011_kidney_right	__TOTALSEG_DATA_DIR__/s0011/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0011/segmentations/kidney_right.nii.gz	1
s0011_liver	__TOTALSEG_DATA_DIR__/s0011/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0011/segmentations/liver.nii.gz	1
