process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,7decfe8eb060ec278b46ec589d0985f0,43536384,0,/shared/rnaseq_run/work/7d/ecfe8eb060ec278b46ec589d0985f0
NFCORE_RNASEQ-PREPARE_GENOME-GUNZIP_GTF,ffa1c7abbb9d68ce98fe0ecf4415c146,38240256,0,/shared/rnaseq_run/work/ff/a1c7abbb9d68ce98fe0ecf4415c146
NFCORE_RNASEQ-PREPARE_GENOME-GUNZIP_ADDITIONAL_FASTA,2641fd7e25f88e92fc57ade32b153576,34361344,0,/shared/rnaseq_run/work/26/41fd7e25f88e92fc57ade32b153576
NFCORE_RNASEQ-PREPARE_GENOME-UNTAR_SALMON_INDEX,c4beb87975d8a283b3d21bb19652907f,53329920,1,/shared/rnaseq_run/work/c4/beb87975d8a283b3d21bb19652907f
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-CAT_FASTQ,1c3ef8ad6f0a6a0a9f681b55b92da81e,41857024,0,/shared/rnaseq_run/work/1c/3ef8ad6f0a6a0a9f681b55b92da81e
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,646c7613ca04620e5e04959ef1a8c877,60870656,0,/shared/rnaseq_run/work/64/6c7613ca04620e5e04959ef1a8c877
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,d85486ff24999697a4cd3ad344cfd0c5,66584576,0,/shared/rnaseq_run/work/d8/5486ff24999697a4cd3ad344cfd0c5
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-CAT_FASTQ,1ed5ac00468b27d15575451f1cab7e75,51310592,0,/shared/rnaseq_run/work/1e/d5ac00468b27d15575451f1cab7e75
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,18269952696fde2c194deb813679bafa,39243776,0,/shared/rnaseq_run/work/18/269952696fde2c194deb813679bafa
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,4964571bdfedfd0e2f9e1130e3c4d26e,64147456,1,/shared/rnaseq_run/work/49/64571bdfedfd0e2f9e1130e3c4d26e
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,e411bfe6a86a7c9d59ca52b2fd35cc54,325578752,5,/shared/rnaseq_run/work/e4/11bfe6a86a7c9d59ca52b2fd35cc54
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,a626a7b37e5909169bfceaf1a41f6820,563884032,7,/shared/rnaseq_run/work/a6/26a7b37e5909169bfceaf1a41f6820
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,988f9bfbe9cf312f19219c5070597573,530300928,7,/shared/rnaseq_run/work/98/8f9bfbe9cf312f19219c5070597573
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,dc904881c9314156aba4e80d04e6d811,376025088,5,/shared/rnaseq_run/work/dc/904881c9314156aba4e80d04e6d811
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,f84455b615d6083cfc213b68cde34d92,582471680,7,/shared/rnaseq_run/work/f8/4455b615d6083cfc213b68cde34d92
NFCORE_RNASEQ-PREPARE_GENOME-CUSTOM_GTFFILTER,1a167a56941a2e02d4c4f8e9734bb95f,81588224,1,/shared/rnaseq_run/work/1a/167a56941a2e02d4c4f8e9734bb95f
