process,task_hash,c_bytes
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,d85486ff,3201685
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-CAT_FASTQ,1ed5ac00,4073815
NFCORE_RNASEQ-PREPARE_GENOME-GUNZIP_ADDITIONAL_FASTA,2641fd7e,4283938
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-CAT_FASTQ,1c3ef8ad,4439485
NFCORE_RNASEQ-PREPARE_GENOME-UNTAR_SALMON_INDEX,c4beb879,4327783
NFCORE_RNASEQ-PREPARE_GENOME-GUNZIP_GTF,ffa1c7ab,4481725
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,7decfe8e,3096876
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,646c7613,3100460
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,4964571b,3044112
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT,18269952,3230214
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,988f9bfb,51549906
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,e411bfe6,52135382
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,a626a7b3,52600124
NFCORE_RNASEQ-PREPARE_GENOME-CUSTOM_GTFFILTER,1a167a56,8396341
NFCORE_RNASEQ-PREPARE_GENOME-CUSTOM_CATADDITIONALFASTA,41097879,5822908
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,f84455b6,53198056
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,dc904881,54212437
NFCORE_RNASEQ-PREPARE_GENOME-EAUTILS_GTF2BED,5bc2f520,3745028
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,fde654dd,139626981
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_TRIMMING,07778f4e,3071942
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_TRIMMING,ad5af042,2959735
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,d58b5138,169864310
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,6fb70320,102090110
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_TRIMMING,8f7ac16f,3082803
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_TRIMMING,a575c81b,3348025
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_TRIMMING,fb33cee9,3049115
NFCORE_RNASEQ-PREPARE_GENOME-SAMTOOLS_FAIDX,21b1ab3a,4667491
NFCORE_RNASEQ-PREPARE_GENOME-STAR_GENOMEGENERATE,239aa5c2,4785098
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-BBMAP_BBSPLIT,0d20cd3d,4536317
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-BBMAP_BBSPLIT,13fb6cdc,4657446
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-BBMAP_BBSPLIT,fa677e40,4368835
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-TRIMGALORE,b14b8281,272613479
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_BBSPLIT,2298a028,3042741
NFCORE_RNASEQ-PREPARE_GENOME-BBMAP_BBSPLIT,c8a4fb97,27277162
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-BBMAP_BBSPLIT,7caa9abc,4318480
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_BBSPLIT,a125313f,3210958
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_BBSPLIT,80ceea1f,3343901
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_BBSPLIT,fdd35468,2930413
