process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA,2641fd7e25f88e92fc57ade32b153576,104960,,3565158,33112064,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,d85486ff24999697a4cd3ad344cfd0c5,6920601,,3250585,29962240,0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:CAT_FASTQ,1ed5ac00468b27d15575451f1cab7e75,8912896,,6606028,31866880,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:CAT_FASTQ,1c3ef8ad6f0a6a0a9f681b55b92da81e,4613734,,6081740,33591296,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,646c7613ca04620e5e04959ef1a8c877,6606028,,3460300,29884416,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,7decfe8eb060ec278b46ec589d0985f0,2411724,,3355443,29437952,1
NFCORE_RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX,c4beb87975d8a283b3d21bb19652907f,3460300,,5347737,33734656,1
NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF,ffa1c7abbb9d68ce98fe0ecf4415c146,115097,,3670016,32956416,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,18269952696fde2c194deb813679bafa,4613734,,3250585,29966336,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,4964571bdfedfd0e2f9e1130e3c4d26e,13421772,,3355443,29290496,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,988f9bfbe9cf312f19219c5070597573,16777216,,458227712,524955648,10
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,a626a7b37e5909169bfceaf1a41f6820,16986931,,425826713,539611136,10
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,e411bfe6a86a7c9d59ca52b2fd35cc54,13736345,,255537971,363401216,9
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,f84455b615d6083cfc213b68cde34d92,21390950,,491362713,645971968,12
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,dc904881c9314156aba4e80d04e6d811,15938355,,300941312,387072000,10
NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER,1a167a56941a2e02d4c4f8e9734bb95f,1677721,,376832,85835776,1
NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_CATADDITIONALFASTA,410978790258763d0cda8f7da4a209e4,1468006,,1468006,81063936,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,d58b5138fd30d01c740a2cafe6b6cdbd,166094438,,240857907,386138112,21
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,fde654dd32385db0e2a5334c2cbc5919,112407347,,292762419,399785984,13
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,b14b828191e1973d9a7ce9b0ecc38554,294230425,,289826406,427028480,27
NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED,5bc2f5200d79b70c645a34510f633959,384204,,761856,34230272,2
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,6fb7032055d96c0ec588d4fb6929d113,67738009,,243269632,366010368,10
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING,07778f4eb2eda40a4bfc615de45e8ee5,4508876,,3460300,30027776,0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING,ad5af042c282b56c97e5d47cb6f85c5d,6815744,,3355443,28897280,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,240937cb2eef64523371ac1c750e3d9d,165255577,,200802304,376705024,21
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING,a575c81b4a07c24405c1b9e79ded0963,13107200,,3250585,29261824,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING,8f7ac16f00582741d54becc8e0b21aba,2306867,,3250585,30318592,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING,fb33cee9bf4f0ef9e0434caf3cc707bf,6501171,,3250585,29515776,1
NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,21b1ab3a6ec31842b7cdeedd8c4b0d09,384512,,4194304,39276544,1
NFCORE_RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE,239aa5c289f2449ed1ce787e8a82d84c,5138022,,4089446,40828928,1
NFCORE_RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT,c8a4fb97b217561567f58fbc4e84d6a2,4928307,,382625382,448262144,7
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT,0d20cd3dd1979c472b342a15866b69b1,40789606,,1181116006,36450304,0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT,13fb6cdc5fdfc9f1382d1793fc7a78e3,41209036,,1288490188,36737024,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT,fa677e400401291f5f6f812fc848ea22,26214400,,1181116006,34983936,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT,2298a02831e4ffdd2c629a1f30826f55,5138022,,3355443,28680192,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT,7caa9abcb7cfc09133fdb29abfac4003,70464307,,1503238553,35684352,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT,a125313f6c98c0e65aa563f03bf8fe72,7759462,,3460300,29921280,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT,80ceea1f219a905031b06e6b6f6efdf5,2621440,,3355443,29589504,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT,fdd354683f10cd95e1d0b33bd35a3fcc,15204352,,3145728,30838784,1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT,e52dfa70ca0d0d6fce7b68b31e7e7597,40999321,,1288490188,35856384,0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED,2f63e3e088e91e5f88e5873c8970d2a2,16462643,,300521881,338456576,9
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED,e56a3f555402e9cabc5ff5815da4aa13,17825792,,430964736,472649728,10
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN,039b5710d69776261dbab4c81cb5e7ce,52743372,,936797798,1059782656,26
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED,a15e255e81b40b0e8d0f808beb1a49cc,13946060,,234147020,310394880,9
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE,c0b1be2a1245901e0b54bcb9928210ce,15204352,,8283750,48627712,6
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED,0ac7d479d0d75822f15f9af444a39466,22649241,,612682956,602800128,13
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_BBSPLIT,1b43b6f3950a97fd79e62e5d22257fcd,7549747,,3145728,29401088,0
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT,006b853c1cff673480a6e46e4111496f,3670016,,237712179,271560704,2
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT,e52bf716e3bb70bd825c98f3eb7fab46,6186598,,249351372,284254208,3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT,72b38fe7c083ed83da0a4fbd863d4704,6396313,,3355443,295763968,3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,a4215b4336b16c91a1d2ab3d02d9673c,13212057,,16986931,39559168,1
NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT,8c7f6ac76c8ad3cd77886158a2f95ebf,6081740,,613941248,589860864,2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN,9e82072ae9bc88b510e6dcac8a81d398,27996979,,929877196,1026678784,15
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQC_FILTERED,3489a1d5eec56321003998e45340c985,17616076,,428448153,579784704,12
